Url,Title,Query,Error,Timestamp
https://kaptarko.hu/,Főoldal - Kaptárkő Egyesület,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:51:42.223388"""
https://kaptarko.hu/contact/,Kapcsolat - Kaptárkő Egyesület,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:51:48.507152"""
http://www.kalocsa.hu/civil-szervezeteink/kulturalis-egyesuletek/,Kulturális egyesületek - Kalocsa,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:51:52.742129"""
http://szentgotthard.hu/hu/intezmenyek/pannon-kapu-kulturalis-egyesulet-3.html,ScrapeTitleError,kulturalis egyesulet kapcsolat,<urlopen error timed out>,ScrapeMailError,<urlopen error timed out>,"""2020-07-14T14:52:17.918270"""
https://www.gyere.info/kapcsolat/,Kapcsolat - hétvégi magyar iskola és óvoda Regensburgban - Gyere! Magyar Kulturális Egyesület,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:52:21.325804"""
https://www.ararat.hu/,"Kezdőoldal - Örmény Kulturális Központ, Örmény Apostoli Vallási Közösség, Arménia Népe Kulturális Egyesület",kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:52:22.957707"""
http://nagybajom.hu/hu/civil-elet/ifjusag/alternativ-ifjusagi-es-kulturalis-egyesulet/,Nagybajom | “Alternaiv” Ifjúsági és Kulturális Egyesület,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:52:27.499911"""
http://www.mikepercs.hu/tekeres-hagyomanyorzo-es-kulturalis-egyesulet,Mikepércs Önkormányzat | Tekeres Hagyományőrző és Kulturális Egyesület,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:52:29.590905"""
https://www.ozd.hu/content.php?cid=cont_4d80840247f9c8.07452310,"ZD Vros honlapja - Kulturlis, hagyomnyrz szervezetek",kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:52:30.386451"""
http://www.heritagemanager.hu/?page_id=35,Rólunk | Kulturális Örökség Menedzserek Egyesülete,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:52:33.917146"""
https://majs.hu/kozosseg/civil-szervezetek/majsi-magyar-nemet-kulturalis-egyesulet/,Majsi Magyar-Német Kulturális Egyesület - Majs Község,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:52:35.178488"""
http://mtsz.org/szervezet/kaptarko_termeszetvedelmi_es_kulturalis_egyesulet,mtsz.org - Kaptárkő Természetvédelmi és Kulturális Egyesület,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:52:36.836390"""
https://migoto.hu/,Migoto Kulturális Egyesület,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:52:37.914559"""
https://hcaphoenix.org/page/12/,Hungarian Cultural Association of Phoenix – Page 12 – Phoenix-i Magyar Kulturális Egyesület,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:52:40.553999"""
http://jaromkultegyesulet.hu/index.php/hu/,Kezdőlap,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:52:43.194207"""
http://www.cserdulo.hu/kapcsolat/,Kapcsolat – Cserdülő Kulturális Egyesület,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:52:44.416924"""
